date,name,group,impact,description
2005-07-28, "'Southern Weekend' collective resignation", rectifying the liberal community, 5, "Southern Weekend" urban version editor Chen Juhong, front page editor Fang Sanwen, consumer plaza editor Cao Xihong has submitted resignation report, reporter Li Yuzhen, Yang Haipeng , Ming Minglei, Jia Ming, Zhu Qiang, Du Weidong, Yan, Jiang Hua, Jia Ming, Zhou Hao have clearly stated their intention to leave.
2012-04-06, "Website 'China's election and governance network' was shut down", rectifying the liberal community, 5, around September 2013, the website resumed operation, has been blocked by the Chinese government. Http://www.chinaelections.org/
2012-04-06, "'Wuyouzhixiang' (Utopia) (1) was detained", rectifying the liberal community, 5, re-registered for the new website wyzxwk.com on April 24, 2013
2003-06-28, "'Wuyouzhixiang' (Utopia) (1) wyzxsx.com", setup communist propaganda outlet, 5, archive https://web.archive.org/web/20051101102049/http://www.wyzxsx.com/
2013-04-24, "'Wuyouzhixiang' (Utopia) (2) wyzxwk.com", setup communist propaganda outlet, 5,
2011-05-01, "the US military killed Osama bin Laden", major historical events, 5,
2014-02-23, "Ukraine Crisis broke out", major historical events, 5,
2008-09-15, "Lehman Brothers bankruptcy", major historical events, 5,
2008-03-18, "Ma Ying-jeou was elected president of the Republic of China", major historical events, 5,
2016-03-18, "Tsai Ing-wen was elected President of the Republic of China", major historical events, 5,
2016-11-08, "Donald Trump was elected president of the United States", major historical events, 5,
2020-03-18, "Taiwan's presidential election", major historical events, 5,
2014-09-28, "Hong Kong Occupy Central (Umbrella) Movement begins", major historical events, 5,
2014-03-18, "Taiwan Sun Flower Students Protest", major historical events, 5,
2015-11-07, "Cross-strait leaders meet (Ma-Xi Meeting)", major historical events, 5,
2018-10-30, "Pincong Q&A website (pin-cong.com) closed", renovating liberal community, 5, pin-cong.com
2018-10-11, "QiangWaiLou website was closed", rectifying the liberal community, 5,
2019-01-01, "Learning Xi Strengthening State App (xuexi.cn)", setup communist propaganda outlet, 5,
2008-12-08, "'Charter 08' was published", major historical events, 5,
2014-04-01, "People's Daily's social media account 'Learning Xi Group' published the first article", Setup Social Media Outlet, 5, People's Daily, 5 young people maintained public number https://archive.li/esYTI; The counterattack story of "Knight Island" and "Learning Group" https://archive.li/bttFg
2012-11-21, mysterious microblogging "learning fan group" online, Setup Social Media Outlet, 5, 2013-02-05 stop updating, https://archive.li/5VF4l; Wei Wuhui: "learning fan group: Xi Jinping Avatar?" The New York Times Chinese version https://archive.li/30BjG
2020-11-03, the US presidential election polling day, major historical events, 5,
2019-03-27, Tsinghua Law Professor Xu Zhangrun was suspended from combating academic freedom. 5, The New York Times Chinese version reported https://archive.vn/J6pTb
2019-01-03, the National Textbook Committee ordered <br> comprehensive understanding of constitutional textbooks to combat academic freedom, 5, https://terminus2049.github.io/archive/2019/01/31/ngocn-interview-zhangqianfan.html
2013-04-22, China Office issued the No. 9 document "Notice on the current situation of the ideological field" <br> Seven non-speaking: universal values, freedom of the press, civil society, civil rights, <br> historical errors of the party, Power and bourgeoisie, judicial independence, combat academic freedom, 5, full text https://archive.li/X4sq5; New York report https://archive.li/RWYay; https://program-think.blogspot.com /2013/06/weekly-share-53.html
2015-01-19, China Office, State-run "Opinions on Further Strengthening and Improving the Propaganda and Ideological Work of Colleges and Universities under the New Situation", Combating Academic Freedom, 5, Xinhuanet Report https://archive.li/64n3G
2017-08-22, Cambridge University Press was pressured for a short period of time <br>Chinese mainland blocked more than 300 articles in the China Quarterly, combating academic freedom, 5, BBC reports https://web.archive.org/web/ 20190616043729/https://www.bbc.com/zhongwen/simp/chinese-news-40975474
2017-11-02, Springer Nature is under pressure for <br>China to block thousands of academic articles, combat academic freedom, 5, related reports https://archive.li/RgdCy
2007-05-15, the Central Committee of the Communist Youth League launched the "Qingma Project" in Beijing, the personnel organization of the party group, 5, Baidu Encyclopedia https://archive.fo/slVAW;
2017-12-28, Zhongqing Daily: In the past 10 years, all levels of “Qingmaban” have cultivated more than 1.2 million college students. The “Qingma Project” has been rooted in the national colleges and universities, and the party and personnel organizations , 5, China Youth Daily Tsing Ma Engineering 10th Anniversary Report https://archive.li/rxANU
2014-12-25, many colleges and universities called for a boycott of "Christmas", cultural and cultural entertainment, 5, Wuzhizhixiang report https://archive.li/bza53
2017-09-02, Professor Zhang Qianfan of Peking University was reported to endanger national security and combat academic freedom. 5, Li Yang reported the original Kunlun policy https://archive.md/SNXZh
2017-07-03, Tan Song, an associate professor of Chongqing Normal University, was dismissed from the school to study academic freedom. 5, Tan Song: Hey, I was finally swept out! https://archive.li/d3Wwk
2017-08-11, Associate Professor Shi Jiepeng of Beijing Normal University was dismissed for microblogging "Critique of Mao Zedong" to combat academic freedom. 5, The New York Times Chinese website https://archive.li/JlMQ8
2019-06-13, "over the wall" crime landing? <br>Website Office "Personal Information Exit Safety Assessment Measures" Public Consultation, Digital Monitoring and Wall, 5, Xinhuanet Report https://archive.li/8dpQ3; Free Asia Radio Report https://archive.li/1EIIx
2018-01-10, the new version of the eighth grade history textbook deleted the "error", combating academic freedom, 5, Radio Free Asia https://archive.li/HcVTy
2019-01-15, the new version of the sixth grade language textbook deletes the words "God" and "Bible" to combat academic freedom, 5, winter https://archive.li/4hXWr
2001-04-25, "Golden Shield Project" approved by the State Council, digital monitoring and wall, 5, https://chinadigitaltimes.net/space/%E9%98%85%E5%90%8E%E5%8D%B3 %E7%84%9A%EF%BC%9AGFW%E7%9A%84%E5%89%8D%E4%B8%96%E4%BB%8A%E7%94%9F%EF%BC%8C%E4 %B8%80%E9%83%A8GFW%E4%B9%8B%E7%88%B6%E6%96%B9%E6%BB%A8%E5%85%B4%E7%9A%84%E5%8F %91%E5%AE%B6%E5%8F%B2
2002-09-03, "Google.com" was blocked for 9 days, digital surveillance and wall, 5, https://chinadigitaltimes.net/space/%E9%98%85%E5%90%8E%E5%8D% B3%E7%84%9A%EF%BC%9AGFW%E7%9A%84%E5%89%8D%E4%B8%96%E4%BB%8A%E7%94%9F%EF%BC%8C% E4%B8%80%E9%83%A8GFW%E4%B9%8B%E7%88%B6%E6%96%B9%E6%BB%A8%E5%85%B4%E7%9A%84%E5% 8F%91%E5%AE%B6%E5%8F%B2
2006-11-16, the first phase of the "Golden Shield Project" officially passed the national acceptance, digital monitoring and wall in Beijing, 5, https://chinadigitaltimes.net/space/%E9%98%85%E5%90%8E%E5 %8D%B3%E7%84%9A%EF%BC%9AGFW%E7%9A%84%E5%89%8D%E4%B8%96%E4%BB%8A%E7%94%9F%EF%BC %8C%E4%B8%80%E9%83%A8GFW%E4%B9%8B%E7%88%B6%E6%96%B9%E6%BB%A8%E5%85%B4%E7%9A%84 %E5%8F%91%E5%AE%B6%E5%8F%B2
2003-09-02, "Golden Shield Project" was fully launched, digital monitoring and wall, 5, http://www.chinagfw.org/2010/02/gfw_4590.html
2007-07-17, China's domestic e-mail users and foreign communications <br> a large number of bounces, lost letters and other common phenomena, digital surveillance and wall, 5, http://www.chinagfw.org/2010/02/gfw_4590. Html
2009-08-10, Fang Binxing vigorously advocated the real-name system, digital monitoring and wall in the "First China Internet Governance and Law Forum"<br>5, http://www.chinagfw.org/2010/02/gfw_4590 .html
2007-04-06, GFW has established four sets of main systems, digital monitoring and wall mirroring in Beijing, Shanghai, Guangzhou and Changsha, 5, http://www.chinagfw.org/2010/02/gfw_4590.html
2002-11-30, the "66 million broadband dynamic network blocking system" project won the second prize of national defense science and technology, digital monitoring and wall, 5, http://www.chinagfw.org/2010/02/ Gfw_4590.html
2003-01-31, the “National Information Security Management System” with a funding of 490 million<br>(005 Project) won the first prize of National Science and Technology Progress Award 2002, Digital Monitoring and Wall, 5, http://www.chinagfw.org /2010/02/gfw_4590.html
2009-06-24, Google services Gmail, Gtalk, Google Docs, etc. were briefly walled, digitally monitored and walled, 5, http://www.chinagfw.org/2010/02/gfw_4590.html
2009-06-02, Microsoft services such as Twitter and Bing are walled, digitally monitored and walled, 5, http://www.chinagfw.org/2010/02/gfw_4590.html
2009-07-07, Facebook is walled, digitally monitored and walled, 5, http://www.chinagfw.org/2010/02/gfw_4590.html
2018-08-22, History and economist Qin Hui was dismissed by Tsinghua University <br>Teaching at the Chinese University of Hong Kong to teach academic freedom, 5, Twitter coverage https://archive.li/xxFEc
2019-06-16, Nearly 2 million Hong Kong people in "anti-extradition bill" parade, major historical events, 5,
2019-03-06, Yin Zhenhuan, a professor at the Party School of Guizhou, announced the withdrawal of "serious political issues" in the "Western Han Bamboo Book < Laozi> Notes <br><br><br>, to combat academic freedom, 5, related reports https://archive .li/ZkKhB
2019-04-28, Tsinghua Xu Zhangrun went to Japan to seek medical treatment and was restricted from leaving the country to combat academic freedom. 5, related reports https://archive.fo/LjaNv
2018-11-05, Sheng Hong, director of the Tianze Institute, went to the United States to attend an academic conference. <br>The Beijing authorities prohibited the exit of the country on the grounds of "endangering national security" and cracked down on academic freedom. 5, related reports https://archive.li /YgjNO
2018-10-12, Zhao Siyun, deputy dean of the School of Liberal Arts, Zhejiang Media College<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
2019-03-20, Tang Yun, an associate professor of Chongqing Normal University, was disqualified from teaching in the teaching of "publishing speeches that damage the country's reputation", combating academic freedom, 5, related reports https://archive.li/2HVrQ
2018-09-30, Professor Yang Shaozheng of the School of Economics of Guizhou University<br>Because the Chinese Communist Party spends 20 trillion yuan a year to be expelled from the school to combat academic freedom, 5, related reports https://archive.li/p5Gy5
2018-09-01, Assistant Professor Zhou Yunzhong, Department of History, College of Humanities, Xiamen University, was dismissed from online speech to combat academic freedom, 5, related reports https://archive.li/pueqn
2018-04-25, Associate Professor Xu Chuanqing from Beijing Jianzhu University was administratively remembered for class speech, combating academic freedom, 5, multi-dimensional report https://archive.li/J2JzT; check network https://archive.li/PHfvl
2017-01-10, Associate Dean and Professor Deng Xiangchao, School of Art, Shandong Jianzhu University <br>Forced retirement due to online insults, combating academic freedom, 5, related reports https://archive.li/0RNyC
2017-08-01, Associate Professor Li Mohai, Department of Politics, School of Political Science and Law, Shandong Institute of Business and Technology<br>Because of the publication of false statements on the Internet, the college was suspended, the party school was dismissed, and academic freedom was cracked down. 5, related reports https://archive.li/a8aoP; Https://archive.li/jtsun
2018-05-22, Associate Professor Qi Xianhong, Zhongnan University of Economics and Law<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
2018-06-30, 71-year-old professor of Xiamen University, You Shengdong was dismissed on the grounds of "extraordinary" speech, combating academic freedom, 5, related reports https://archive.li/gU97U
2019-03-21, former lecturer and leftist editor of Citadel Chai Xiaoming charged [br> suspected of “subverting state power” to monitor residence and combat academic freedom, 5, related reports https://archive.li/vC8B9; Wikipedia https: //archive.li/p66uk
2013-11-15, Zhang Qianfan, professor of Peking University Law School with 220,000 fans on Weibo, was titled by the whole network, rectifying the liberal community, 5, related reports https://archive.li/3hgzB
2015-12-12, "Nanfeng Window" master Li North Chawang sent a text attacking Zhang Qianfan traitors, combating academic freedom, 5, the original https://archive.li/3hgzB
2019-03-25, Lv Jia, an associate professor at Tsinghua Marxism College, was reported by students. <br>The ideological and political courseware "anti-party unconstitutional", combating academic freedom, 5, https://www.bbc.com/zhongwen/simp/chinese -news-47810800
2013-05-06, Mao Yuzhen was attacked by the Global Times. During the same period, he was attacked by Mao Zuo's frequent harassment and called "American traitors running away from the dog" to combat academic freedom. 5, https://archive.li/RN7aY ;https://archive.li/7KLpJ
2013-06-30, National Defense University, General Administration, General Staff, Social Science Institute, and Modern Relations Institute jointly launched a documentary on "Imperial Silence" that emphasizes ideological struggle.<br>All schools are obliged to watch the film and request Write a sense of post-attack, combat academic freedom, 5, Wikipedia https://zh.wikipedia.org/zh-hans/%E8%BE%83%E9%87%8F%E6%97%A0%E5%A3% B0
2014-06-27, the State Council issued the "Outline of Social Credit System Construction Plan (2014-2020)", Digital Surveillance and Wall, 5, the original source text https://web.archive.org/web/20190617160150/http:// Www.gov.cn/zhengce/content/2014-06/27/content_8913.htm
2015-08-31, the National Development and Reform Commission and the People's Bank of China jointly issued 11 articles including Shenyang, Qingdao, Nanjing, <br>Wuxi, Suqian, Hangzhou, Wenzhou, Yiwu, Hefei, Wuhu, Chengdu<br> and other 11 cities. Create a social credit system to build a model city, digital monitoring and wall, 5, the official original https://archive.fo/zs1M5; official media https://archive.fo/b3vcK
2016-04-06, the National Development and Reform Commission and the People's Bank of China jointly issued the "National Development and Reform Commission of the People's Republic of China <br> Bank agreed to the establishment of 32 cities (urban areas) such as Beijing Haidian District, <br> social credit system construction demonstration city (urban) work The reply of the program"<br>(Development and Reform Finance [2016] No. 769), digital monitoring and wall, 5, official media reports https://archive.fo/b3vcK
2017-12-28, the National Development and Reform Commission and the People's Bank jointly issued 12 cities to establish a model city for social credit system construction, digital surveillance and wall, 5, official documents https://archive.fo/rMneA
2018-05-01, the national social credit system begins to limit <br>Serious and untrustworthy people take trains, civil aircraft, digital surveillance and walls, 5, official notice https://archive.fo/29WmP; Xinhuanet https://archive .fo/x0zPE; Reuters https://web.archive.org/web20180316230025/http://www.reuters.com/article/us-china-credit/china-to-bar-people-with-bad-social -credit-from-planes-trains-idUSKCN1GS10S
2018-01-02, "Opinions of the Central Committee of the Communist Party of China on Implementing the Rural Revitalization Strategy" <br> "Snow Project" was first written in the Central Document No. 1, Digital Monitoring and Wall, 5, Official Announcement https://archive.li /krkoA; Xinhuanet reported https://archive.vn/RA35I; Legal Daily "https://archive.li/bl6mH
2013-12-31, Pingyi County, Linyi City, Shandong Province began pilot construction of Xueliang project, digital monitoring and wall, 4, legal network report https://archive.li/7gpbm;
2015-05-06, the Ministry of Development and Reform Commission and other 9 parts jointly issued "Suggestions on Strengthening Public Safety Video Surveillance <br> Control Construction Networking Application" Launched "Snow Project", Digital Monitoring and Wall, 5, Official Announcement https:// Web.archive.org/web/20190619132312/http://www.ndrc.gov.cn/zcfb/zcfbtz/201505/t20150513_691578.html
2015-09-23, National Social Security Prevention and Control System Construction Work Conference Held <br>Promoting Linyi Experience, Digital Surveillance and Wall, 5, China Changan Net https://archive.li/7gpbm; Legal Network https:/ /archive.li/bl6mH
2018-03-02, the film that sings the achievements of the CCP since the 18th National Congress<br>The "Great, My Country" national release, cultural and cultural entertainment, 5, Wikipedia https://en.wikipedia.org/zh-hans/ %E5%8E%89%E5%AE%B3%E4%BA%86%EF%BC%8C%E6%88%91%E7%9A%84%E5%9B%BD
2019-06-15, the film "Eight Hundreds" was cancelled, the film was accused of being sung by the Kuomintang anti-Japanese war and was subjected to the ultra-leftist system in the system, cultural and cultural entertainment, 5, Free Asia Report https://www. Rfa.org/cantonese/news/censorship-06152019100833.html;https://archive.li/ifINZ
2019-02-01, the United States announced a moratorium on fulfilling the "Intermediate-Range Nuclear Forces Treaty" <br> NATO expressed support, major historical events, 5, https://www.voachinese.com/a/us-withdraw-russia-missile-treaty -20190201/4768342.html
2018-12-03, 6 ministries and commissions issued a "Notice on Further Cleaning and Renovating Unregulated Place Names" <br>National rectification of "large, foreign, strange, heavy" and other irregular geographical names, cultural arts and entertainment, 5, reports https:// Archive.fo/vqitm; BBC reports https://archive.li/WOair; original https://web.archive.org/web/20190619201804/http://www.hebmz.gov.cn/mzzx/tzgg/201902 /W020190221626711864057.pdf;https://www.solidot.org/story?sid=61047
2018-05-01, "The British and British Protection Act" began to implement <br> allegedly banned from public questioning the history of the Chinese Communist Party, digital surveillance and walls, 5, Wikipedia https://en.wikipedia.org/zh-hans/%E4% B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E8%8B%B1%E9%9B% 84%E7%83%88%E5%A3%AB%E4%BF%9D%E6%8A%A4%E6%B3%95
2019-06-17, "Nanjing Social Credit Regulations (Draft)" <br> It is proposed to list "Yu Yinglie" as a dishonor, digital surveillance and wall, 4, https://archive.li/bT6MG; draft http ://www.njcredit.gov.cn/63577/201906/P020190618524435026427.doc
2017-05-17, RFA reports Xinjiang to establish a DNA database to collect Uighur DNA samples, digital surveillance and walls, 5, https://www.rfa.org/cantonese/news/DNA-05172017095946.html
2010-08-20, Xinhua News Agency reported that Changchun completed the deployment of "Skynet Project", Digital Surveillance and Wall, 4, https://archive.li/xQxNw
2017-12-10, BBC reporter challenged Skynet project to be caught in only 7 minutes, digital surveillance and wall, 5, https://archive.li/R4ypA; https://www.bbc.com/news/av/ World-asia-china-42248056/in-your-face-china-s-all-seeing-state
2019-03-22, the Central Committee of the Communist Youth League issued the "Opinions on Deepening the Action of Rural Youth Rejuvenation and Youthwork". In the past three years, it has mobilized 10 million people to go to the countryside, and the party and personnel organizations, 5, rumors https://archive.li/ 3xtZm; file https://web.archive.org/web/20190619222041/http://www.ccyl.org.cn/documents/zqf/201904/P020190409601867844904.pdf
2019-06-19, China Office issued "Opinions on Encouraging and Leading Talents to Flow to the Frontier Areas and Grassroots Levels", Party and Personnel Organization, 5, Xinhuanet https://web.archive.org/web/20190619221834 /http://www.xinhuanet.com/2019-06/19/c_1124645469.htm
2018-12-12, the mainland set off a "tweet demolitions" storm <br> hundreds of friends were deleted, rectification of the liberal community, 5, https://web.archive.org/web/20190621015113/https:/ /www.rfa.org/cantonese/features/hottopic/twitter-12122018062522.html
2014-07-06, Internet writer Murong Xuecun was “drinking tea” in Beijing, renovating the liberal community, 5, The New York Times column https://archive.li/84pnE; https://archive.li/kGaiU
2014-05-06, Pu Zhiqiang, Hu Shigen, Hao Jian, <br>Xu Youyu and Liu Wei, who participated in the folk "June 4th Seminar", were arrested and rehabilitated on the grounds of "seeking troubles", rectifying the liberal community, 5 , http://archive.md/kMSDr;https://cn.nytimes.com/opinion/20140523/c23murong/
2014-11-19, Xi Jinping delivered a speech to China's first World Internet Conference, emphasizing "network sovereignty", digital surveillance and wall, 5, BBC report https://archive.li/sXVsg
2018-03-04, "Global Times" editor Hu Xijin opened a personal Chinese Twitter account, Setup Social Media Outlet, 5, https://archive.li/zJ3fQ
2014-03-14, "WeChat Tucheng" He Qingyi and other dozens of public accounts were sealed to rectify the liberal community, 5, RFA report https://archive.li/oQsNP
2019-02-24, 2019, there have been more than 40,000 public numbers involved in "vulgar and harmful" were sealed <br> including road shops, god clubs, Mi Meng, tonight after ninety-nine heads, intervening in the Internet Market, 5, Sina https://archive.li/EsCu8; People's Network https://archive.li/iZV8y
2019-06-06, multiple financial accounts have been sealed from media accounts, including Global Tiger Finance, <br>Financial Street Detective, Trust Circle, Old End View, Fish Farm Group, Golden Sheep <br>Mao Workshop, Lujiazui Small Shimei, Ningnanshan, statistics passengers riding night, etc., intervene in the Internet market, 5, Blue Whale Finance https://archive.li/E2jaK; RFA Report https://www.rfa.org/mandarin/yataibaodao/meiti/ Ql1-06072019062014.html
2018-11-14, from October 20, more than 9,800 self-media accounts have been blocked on the entire network, intervening in the Internet market, 5, https://web.archive.org/web/20190621025250/http://www.dzzq .com.cn/estate/39953805.html
2018-05-22, million fans blogger @Ayawawa offline issued serious inappropriate comments <br> account banned for half a year, intervening in the Internet market, 5, 澎湃 news https://archive.vn/6gdNj
2019-06-14, the CCP's household management system promoted at the grassroots level in the mainland for comprehensive monitoring, party and personnel organizations, 5, China Aid Association https://archive.li/Gsizn; https://www.chinaaid.net/ 2019/06/blog-post_92.html
2019-06-20, a large number of netizens reflect Beijing Shanghai Metro to check passenger mobile phones, digital surveillance and walls, 3, https://archive.li/rF53e
2019-01-09, China Network Audiovisual Program Service Association <br> "Web Short Video Content Review Standard Rules" <br>21 categories of content must not appear, intervene in the Internet market, 5, https://archive.li/SuzgU
2019-06-15, Zhejiang Jiaxing a foreign trade company with the wall software was given administrative warning, digital monitoring and wall by Haining police, 2, https://archive.li/dM0mL
2007-06-24, Google.com, Google Reader, Gmail and other services were temporarily blocked for 1 day, digital monitoring and wall, 5, https://archive.is/yXmU; https://archive.is/knWg
2007-10-18, Yahoo.com, Google.com, Live.com and other domain names were held to Baidu, digital surveillance and wall, 5, https://archive.is/ZiAbI
