date,name,group,impact,description,caption,image,title
2005-08-31,新疆维吾尔族自治区的1名女教师阿米南．莫米西，8月因向学生教授可兰经，被当地公安局拘捕，30多名未成年的学生也被警方带走。,伊斯兰教,3,自由时报，2005.10.26,,,
2005-09-30,新疆维吾尔自治区汉族基督徒商人童其苗9月底被喀什国家安全局叫去问话，被追问在哪里聚会和那些教徒联系，因为不知道国安人员所要了解的情况而遭到毒打，造成胸骨骨折。在海外媒体的关注下，国安局要求童其苗签署没有被打伤的声明。童其苗拒绝签署之後，接连遭到当局多个部门的打击报复。,基督教,3,美国之音广播电台网站，2005.10.6,,,
2005-09-28,河南省基督教家庭教会传道人马银周、马书雷分别9月28日、10月2日在河南省三门峡市被捕。,基督教,3,美国之音广播电台网站，2005.10.19,,,
2005-10-10,中国20多个省市的地下教会领袖51人在河北苟各庄聚会时，被赶来的70多名公安包围，并限制他们自由长达24小时，期间并没收他们的财物。,基督教,3,自由亚洲之声广播电台，2005.4.28,,,
2005-11-05,河南舞阳县南坛村的家庭教会的150多名成员在礼拜时，当地国保大队及宗教局的官员闯入，并抓走6名信徒，当晚放了4人，其余2人袁全三及光伟分别被拘留5天及3天。,基督教,3,自由亚洲之声广播电台，2005.11.11,,,
2005-11-07,天主教河北正定教区40岁的李素川神父及35岁的杨孟二神父被公安分别从河北省的周家庄及周头村押往晋州市。他们2人後於美国总统布希结束访问北京的次日获释。,天主教,3,自由亚洲之声广播电台，2005.11.11,,,
2005-11-08,天主教河北省正定教区70岁主教贾治国被大陆公安从家中带走，公安要求他带上衣物，然後把他带上警车经晋州市转往石家庄市去参加一个学习班。这已是贾治国主教自从2004年1月以来第8次被捕。,天主教,3,自由亚洲之声广播电台，2005.11.11,,,
2005-11-18,河北正定教区有6名神父被公安人员逮捕。分别是现年50岁的王进山与高领深，现年60岁的高秀池，现年45五岁的张银虎，现年36岁的郭志军与30岁的彭建军。,天主教,3,,,,
2005-11-23,16名西安圣方济会修女在晚玫瑰中学校园内，被约40名持棍棒闯入的男性暴徒殴伤，其中42岁修女董桂年可能终身瘫痪，34岁修女程静居可能一只眼睛失明。教廷发言人纳瓦洛（Joaquin Navarro-Valls）11月30日特别发表声明谴责及表达忧心，声明中说，虽然西安圣方济会修女被殴伤事件的原因尚不明确，但是对手无寸铁的修女们施加暴行，令人感到痛心，不能不予以谴责。,天主教,3,义大利亚洲新闻社（AsiaNews），2005.11.29,,,
2006-01-03,美国基督教权益组织「对华援助协会」公布中国着名的人权律师高智晟撰写的一份有关新疆基督家庭教会受到宗教迫害的调查报告（2005年11月15号到20号期间），指出69名基督教徒因参加祷告会被当局抓捕，关押人员将他们的名字编上号、写在一张大白纸上，并强制他们将写着名字、编号上的白纸举到脑前逐一拍照。警察还对他们使用刑讯逼供和酷刑，1位基督徒被安置在老虎凳上达30小时。,基督教,3,美国之音广播电台网站，2006年1月3日,,,
2005-12-12,约70名安徽和河南基督教家庭教会成员在新蔡县召开会议，讨论如何帮助河南的艾滋病感染者。40多名公安人员乘坐八辆警车，包围他们聚会的地方，以非法聚会为理由，把其中29名教会成员带返派出所，还没收他们的财产。其中27人被扣留了16小时，另外2名牧师则被扣留了20小时，但教会财物仍未归还。,基督教,3,自由亚洲之声广播电台网站，2005.12.14,,,
2005-12-24,新疆玛纳斯县公安分局於圣诞节前夕派出上百名公安人员，搜查当地一个家庭基督教会，当时近百名教徒正在举行圣诞庆祝活动。公安人员向每名教徒，包括小孩，逐一拍照，并扣押了教会4箱圣经、3百份圣诞礼物、100份月历、1架电子琴，以及属於教徒的2辆汽车和1部手机，带走了12名教徒，其中1人更被掌掴和锁上手铐。其中7人於当天获释，5人被拘留了15天，至1月8日才获释。,基督教,3,自由亚洲之声广播电台网站，2006.1.26,,,
2005-12-11,中国河北地下天主教神甫王文志月因拒绝加入由官方操控的三自爱国教会被捕，并遭中共当局强行洗脑迫害，试图使他加入官方教会。,天主教,3,自由亚洲之声广播电台网站，2006.1.6,,,
2006-02-03,中国在新疆大肆迫害维吾尔人信奉伊斯兰教的自由，其主要手法是未满18岁者不得信教，不得礼拜；另一项做法是要求新疆清真寺的阿訇每天汇报来寺礼五番拜人员的情况，包括人数、年龄、性别、是不是干部等。,伊斯兰教,3,中央社，2006.2.2,,,
2006-03-19,东北地下教会「三班仆人」的领袖徐双富和16名「三班仆人」的负责人，被控在2002-2004年间，杀害另一个基督教家庭教会「东方闪电」的20名成员。徐双富等人还被加控诈骗超过3千2百万元人民币。经3天半的审讯，3月3日在黑龙江双鸭山市中级人民法院一审审结，但法院并未即时作出裁决。徐双富在庭上推翻供词，否认控罪，称是在生不如死的酷刑情况下，屈打成招被迫认罪。美国宗教团体「对华援助协会」3月18日公开徐双富代表律师的辩护书，披露徐双富被折磨的详细情况，令中共当局10大迫供酷刑全面曝光。,基督教,3,香港苹果日报，2006.3.19,,,
2006-04-26,中国多名公安人员闯入山东临沭县基督徒刘玉华家。刘被控涉嫌非法经营罪遭刑事拘留。,基督教,3,美国之音广播电台网站，2006.5.17,,,
2006-05-10,江苏省宿迁市派出所从当地一个家庭教会聚会中抓走11人，其中8人是当地工作人员，另外1位是韩国牧师，还有2名翻译。经过长时间审讯，所有被抓的人已於当晚获释，但韩国牧师还是在13日被迫离开中国。,基督教,3,美国之音广播电台网站，2006.5.17,,,
2006-06-09,对华援助协会指中国5月下旬在河南省对一个未经政府核准在私人住家举行的宗教仪式进行突袭，逮捕了28名基督教徒。目前仍然在押的3人包括提供礼拜地点的一名女房东和举行礼拜仪式的牧师，余均已获释。对华援助协会呼吁中国政府释放那些因参加未按经政府批准的宗教活动而被拘留的人。,基督教,3,美国之音广播电台网站，2006.6.9,,,
2006-06-25,美国的龚品梅枢机主教基金会7月7日发表声明指出，天主教地下教会河北正定教区主教贾志国6月25日被当地宗教事务局官员带走。声明认为，这是为了防止贾志国与梵蒂冈代表团接触，目前代表团正在北京讨论有关梵中建交问题。,天主教,3,自由亚洲之声广播电台网站，2006.7.8,,,
2006-06-27,四川阆中市基督教家庭教会的一次聚会结束後，参加者中有9人被阆中警方带走。8名教会同工当天下午商议决定向阆中保马镇政府阐明信仰并要求释放被带走的人。不料先抓的人不但不放，论理的又被抓走了6个。除了先抓的人中1人逃脱外，总共有14人被关在公安局。,基督教,3,自由亚洲之声广播电台网站，2006.7.2,,,
2006-07-08,《卫报》报导，中共当局近日重判基督教家庭教会一个「三班仆人」教派的核心成员。为首的徐双富等3人被判杀人罪，一审处以死刑。另有14人被判死缓或3到15年徒刑。此前，2004年4月黑龙江司法部门指控徐双富和「三班仆人」共16名成员杀死另一个叫「东方闪电」教派20名领导人，省公安厅为此成立「209项目组」侦察。,基督教,3,英国ＢＢＣ广播电台网站，2006.7.8-9,,,
2006-07-22,大赦国际华盛顿办公室亚洲部负责人库马7月20日在美国国会众议院专门举行有关法轮功问题的简报会上表示，大赦国际收到的独立调查报告显示，近期有数百名法轮功修练者被捕。「他们在继续逮捕、折磨、虐待、侮辱法轮功修练者，基本上不经任何法律程序就把他们关起来。法轮功修练者的家人也面临中国当局的骚扰和迫害」。,法轮功,3,自由亚洲之声广播电台网站，2006.7.22,,,
2006-07-29,杭州萧山区党山镇在发生一起警民冲突事件，约500名公安人员强行拆毁一座正在修建的基督教堂时，与3000名基督徒发生冲突，中国基督教家庭教会发布紧急声明指出，其中有20人在警方强行拆毁教堂的事件中被打伤。,基督教,3,英国BBC广播电台网站，2006.7.31；法国广播电台，2006.8.3,,,
2006-08-03,总部设在美国的龚品梅枢机主教基金会8月3日发表声明说，效忠罗马天主教的河北省西湾子教区辅助主教姚良7月30日被中国政府逮捕後，约90名教徒8月2日在张家口抗议，随後抗议人士被当局逮捕。,天主教,3,中央社，2006.8.4,,,
2006-08-03,美国德州的对华援助协会表示，安徽淮南市凤台县古店乡的一个基督教家庭教会有90多名儿童和40多名成年人参加主日学。遭到中共警方冲击，2名成年教徒被处以15天拘留。,基督教,3,自由亚洲之声广播电台网站，2006.8.5,,,
2006-07-27,据总部设在美国费城的对华援助协会8月9日新闻稿指出，内蒙古自治区鄂耳多斯市的女传教士吴桂兰7月27日在该市伊金霍洛旗阿腾席热镇传教时，被当地警方拘留15天。8月5日内蒙古自治区政府以「利用邪教破坏国家法律实施」决定将她劳动教养1年。,基督教,3,自由亚洲之声广播电台网站，2006.8.30,,,
2006-09-25,4名浙江省地下天主教会神职人员（天主教温州教区副主教邵祝敏、教区秘书长姜溯念神父和两名修女）9月25日从罗马返国时在深圳被公安人员拘捕，目前关押在浙江省公安厅。,天主教,3,自由亚洲之声广播电台网站，2006.10.3,,,
2006-10-20,新疆伊犁霍城县，家庭教会成员娄元启，李保明，刘明祥，和谭德福在10月20号因为教徒作新居入夥的祈祷而被公安刑事拘留达33天，在关押看守所期间，他们受到其他犯人的虐待和殴打，身心受到严重摧残。,基督教,3,自由亚洲之声广播电台网站，2006.12.13,,,
2006-11-16,新疆警方最近有拘捕一名基督教传教人士。据报导，被拘捕的是原喀什教育学院退休英语教师田麦实，现年53岁。今年10月18日乌鲁木齐市警方从家中将田麦实带走，关入库车看守所，罪名为利用迷信活动诈骗和非法传道。,基督教,3,据对华援助协会11月16日报导;自由亚洲之声广播电台网站，2006.11.17,,,
2006-11-16,据对华援助协会11月16日报导，山东文登基督教徒田英华，王秋，和姜荣因不服被公安机关行政拘留10天而向当地人民法院行政起诉当地公安机关一案，已经於11月10日公开宣判。据报导，山东文登家庭教会基督教徒田英华、王秋，和姜荣在今年6月的一次周日礼拜聚会时被文登市公安机关以「非法聚会」和「非法传教」为名行政拘留10天。,基督教,3,据对华援助协会11月16日报导 自由亚洲之声广播电台网站，2006.11.17,,,
2006-11-30,BBC报道，总部设在美国德州的对华援助协会发表声明说，中国家庭基督教会「三班仆人」教派领袖徐双富、李毛兴、王军上周被黑龙江当局以「故意杀人罪」秘密执行死刑。该案於2004年曾被中共公安部内定为「雷霆一号」大案。涉案人员达63人，案发时间从2003年3月至2004年，分别发生在山东、江西、四川等7个省。目前有22人被判死刑，上述3人被处决，使被处决人数上升到15人。,基督教,3,信报，2006.11.30；加拿大广播部份，2006.12.1,,,
2006-12-01,据亚洲新闻通讯社报道，新任命的江苏徐州教区主教王仁雷，在11月底仪式举行前夕曾被当局软禁，以防他与教廷联络。内地多名教区主教，前日亦被当局以欺骗、挟持等手法，强制他们出席昨日的祝圣礼。,天主教,3,香港频果日报，2006.12.1,,,
2006-11-26,安徽省铜陵市劳动新村的一个家庭教会聚会场所，被当地宗教管理部门查封，并宣布教会已经被政府取缔，责令他们加入当地的三自教会。,基督教,3,自由亚洲之声广播电台网站，2006.12.13,,,
2006-12-16,上海市一个家庭教会约10名教友，在12月16日在一名教友的家中聚会时，突然有多名公安闯入，将教会的传道人王明伟带走，公安并炒走教会的音响器材、诗歌集、有关讲道的影音及诗歌光碟等。教友指当局带走传道人，用意是阻挠他主持圣诞教会的活动；有宗教人士指，当局可能以组织邪教活动为名拘捕王明伟，呼吁国际关注。,基督教,3,自由亚洲之声广播电台网站，2006.12.16,,,
2006-12-29,多倫縣家庭教會（內蒙古）曾向宗教局申請舉辦聖誕節活動，宗教局以限家人聚會為由，取消慶祝活動。12月29日宗教局主動聯繫並允許聚會，惟竟又一次到場宣佈聚會屬非法並予以取締。抓走七八人並對三名基督徒實施15天的行政拘留。,基督教,3,自由亞洲之聲電台1月4日,,,
2006-12-23,婁元啟（新疆傳道人）為制止舉辦聖誕慶祝活動並指稱搞迷信活動，12月23日遭警方帶走。剛進看守所時即遭犯人毒打一度生命垂危。30日獲准保外就醫診治發現，軟骨受傷並瘀血。,基督教,3,自由亞洲之聲電台1月4日,,,
2007-01-09,河北保定聖經學習班（河北省）家庭教會成員在保定市委黨校內聚會，參加基督徒包括黨校副校長及來自全國的高級知識份子。後遭120多個警察包圍，並指稱非法傳道、取消宗教活動。又將42人分置單獨房間並配置三個警察展開訊問。保定市黨校副校長耿素德除遭限制人身自由外，亦有好幾個部門跟蹤監視，調查是否與海外敵對勢力聯繫、搞滲透。40餘多基督徒遭8小時訊問後獲釋放。9位神父被捕，因地方當局認定為非政府承認的神父，聚集在没有政府註冊的地方，屬非法聚會。其中二名因健康原因獲釋放。,基督教,3,法國廣播電台、自由亞洲之聲電台1月9日，1月11日,,,
2007-01-06,焦作市修武縣懷豐嫏陳村（河南省）基督教家庭教會聚會，均以非法聚會為名或指稱邪教進行抓捕行動。據多次被抓關押的教友表示，中共對於怎樣聚會屬於非法無固定標準，每年農曆春節前後總有一段時間搞嚴打。教友被抓後獲釋放。1月6日教徒聚會，警方突然闖入並指控教徒從事邪教活動，屬非法聚會，11名基督徒被帶走，　其中只有二人獲釋放，另九人至今被羈押。教會被襲擊並逮捕11名基督教徒。,基督教,3,自由亞洲之聲電台1月9日;自由亞洲之聲電台1月16日,,,
2007-01-11,吳虹（山東省蓬萊市法輪功學員）蓬萊市公安局在沒有得在家人同意的情況下，將六個月前於洗腦班迫害致死的法輪功學員吳虹的遺體強行火化。其夫王曉方為妻子赴北京討公道時離奇死亡；相關報導認為係因王曉方持有妻子遭迫害證據而被謀殺。遺體遭強行火化。,法轮功,3,大紀元網站1月11日,,,
2007-01-30,張永生（安徵省金寨縣家庭基督教會傳道人）在張沖鄉一所民房與十多個家庭教會的六十多名傳道人聚會時，遭公安人員襲擊，拿走教會物資並警告不得再聚會。遭公安人員襲擊並警告不得聚會。,基督教,3,自由亞洲之聲1月30日,,,
2007-01-29,西藏15歲少年嘉央桑朋及75名逃亡者2006.9月底開始逃亡至2007.1.29，期間曾被抓回並遭毆打。逃亡過程中1名尼姑被開槍打死。,藏传佛教,3,多維新聞網1月31日,,,
2007-02-02,班禪轉世靈童根敦曲吉尼瑪等宗教人士美國宗教自由國際委會主席蓋爾在國會作證，批評中國在奧運即臨之際，加緊對宗教活動的控制。逮捕、拘禁、騷擾宗教人士。,藏传佛教,3,英國BBC，2月2日,,,
2007-02-09,劉風鋼（北京教會人士）因向海外基督教組織報導家庭教會教堂被毀以及教徒受逼迫事件，2003年10月被捕。2004年8月中國當局以「為境外刺探、非法提供國家情報罪」判處3年有期徒刑入獄，於近日獲釋。,基督教,3,美國之音，2月9日,,,
2007-02-14,曾愛華（上海籍香港居民）、王博及其父母(法輪功學員）被指涉嫌傳播與法輪功有關的信息，被拘捕。被認定觸犯所謂「利用邪教破壞法律實施罪」分別被判刑3及4年。,法轮功,3,自由亞洲之聲，2月13日,,,
2007-02-28,徐常山、陳小兵（江西教會人士）警方要求彼等不得在公園內傳教。警方抄走兩人音響及隨身物品，並傳訊兩人。,基督教,3,自由亞洲之聲，2月28日,,,
2007-03-08,董全玉等30餘人（河南家庭教會人士）聚會學習聖經時，被當地公安襲擊現場。30餘名教徒被逮捕，盤問之後釋放，但警告不得對外聲張；其中董全玉被拘留10天。,基督教,3,自由亞洲之聲，3月8日,,,
2007-04-03,陳加錫（安徽家庭教會牧師）協助教會免費印刷及散發聖經等教會宣傳單及書籍。被公安逮捕，以「非法經營罪」起訴。,基督教,3,自由亞洲之聲，4月3日。,,,
2007-04-03,安徽蕪湖家庭教會領袖陳加錫牧師協助教會免費印刷及散發聖經等基督教的宣傳單張及書籍，被當局誣告他從中獲利五萬元。今年一月初再次被公安逮捕，當局以「非法經營罪」起訴。,基督教,3,自由亞洲之聲， 4月3日。,,,
2007-04-25,新疆阿克蘇基督教家庭教會成員聚會。警方抓走28人，其中至少有5位家庭教會信徒被刑事拘留，同時被抓走的還有兩名美國傳道人。,基督教,3,自由亞洲之聲， 4月25日。,,,
2007-06-05,河北地下天主教會主教賈志國羅馬天主教皇本篤十六世即將發表致中國天主教的公開信。6月5號在家中遭當局拘捕。國際媒體星期四報導說，賈志國主教今年73歲，這是他2004年以來第九次被拘捕。,天主教,3,自由亞洲之聲，6月8日。,,,
2007-07-09,河南的家庭教會領袖張革命以及孫慶文牧師　山東荷澤市政府判處一年勞教，罪名是利用邪教破壞法律實施。,基督教,3,自由亞洲之聲， 7月9日。,,,
2007-07-20,內蒙古自治區、江蘇省和安徽省15位家庭教會 領袖公安局聲稱非法聚會被拘捕。,基督教,3,自由亞洲之聲，7月20日。,,,
2007-10-06,9名湖北、安徽、河南和山西的家庭教會領袖於今年7月15號被抓捕而失去下落後。他們的家屬近日接到正式通知或消息，9人已全部被判一年或一年半勞教。,基督教,3,自由亞洲之聲，10月6日。,,,
2007-10-14,新疆烏魯木齊市的家庭教會組織者周恒今年8月3日到貨運站接一批外地發來的兩、三噸的聖經。被公安人員以涉嫌非法經營罪當場逮捕並關押至今。,基督教,3,自由亞洲之聲， 10月14日。,,,
2007-12-08,北京基督徒石維翰以及他的妻子女兒北京市公安局搜查住在北京住家。以涉嫌非法出版印刷的罪名帶走石維翰和他的妻子張晶。,基督教,3,自由亞洲之聲，12月8日。,,,
2007-12-14,西藏那曲地區比如縣上百名當地西藏僧俗民眾發生藏漢衝突，遭逮捕。中共當局近期又強行關閉了比如縣白嘎鄉白嘎寺，並拘捕了該寺6名僧人。,藏传佛教,3,自由亞洲之聲，12月14日。,,,
2007-08-10,山東魚台縣大程村聖經教師程振安和5名基督徒8月10日在舉辦青年聖經培訓夏令會的時候被拘留，魚台縣公安分局聯同清河派出所和魚台縣宗教事務局禁止他們查經、唱歌，當著孩 子的面把這5名教徒帶到魚台派出所。以「假借宗教名義擾亂社會治安」為名拘留程振安10天，罰款1300元，其它5人被拘留5天，分別罰款50到660元不等。,基督教,3,自由亞洲之聲，12月21日。,,,
2008-07-11,張忠心山東濟寧市地下家庭教會牧師2008年5月被查抄電腦及文件，並帶走其他5名家庭教會成員，其成員在不知情下，於承認加入邪教文件上簽字，張忠心隨後被補。7月11日得知被當地勞教管理委員會以「涉嫌利用邪教組織破法律實施」作出勞教2年的決定。,基督教,3,自由亞洲之聲(2008/07/12),,,
2009-01-15,馮峰及鄧天玉/法輪功學員被沙市區法院以涉嫌利用邪教組織破壞法律實施罪審理。,法轮功,3,自由亞洲之聲(2009/01/16),,,
2009-02-28,韋良月/黑龍江省焦點律師事務所主任參加當地一個法輪功學員聚會，被哈爾濱警方帶走，並一直被關押在哈爾濱市南崗區看守所。,法轮功,3,自由亞洲之聲(2009/03/27),,,
2009-03-31,陶淵/北京師範大學明史系研究生今年3月因練習法輪功，被當局以利用邪教組織妨礙法律實施罪關押。4月12日，陶淵的母親張盛榮女士在委託律師處理相關法律事務時，綜治辦人員和晉陽派出所警察強行非法闖入室內進行干預。,法轮功,3,自由亞洲之聲(2009/04/14)、世界日報(2009/04/15),,,
2009-06-13,四川閬中市家庭教會成員及牧師30多名家庭教會成員及牧師在聚會時遭到當局逮捕，其中18人分別被處以行政和刑事拘留。,基督教,3,美國之音(2009/06/14),,,
2009-06-14,河南鄭州市基督教磐石教會於聚會時遭大批當局所派人員衝擊，多名教友遭拘留半個月，其教會牧師夫婦被判勞動教養1年，教會亦遭查封。,基督教,3,自由亞洲之聲(2009/07/02),,,
2009-07-13,山東滕州市某基督教會滕州市湖濱鎮派出所和市國寶大隊包圍聚會地點，將28名青少年基督徒和4名教會同工全部抓捕。警方在湖濱鎮派出所審訊恐嚇被捕青少年，並動手毆打他們及搶走教會全部財物，包括投影機、電視機、電腦和樂器音響器材等。,基督教,3,自由亞洲之聲(2009/07/14)、中央通訊社(2009/07/23),,,
2009-07-31,邵玉華/法輪功學員於11年前嫁到台灣的大陸籍配偶邵玉華帶女兒回河南娘家探親，7月31號被自稱為中國國家安全部的人帶走，國安人員直接說明因為她修習法輪功才拘捕她，要其寫下悔過書，並告知在回台灣之前，不要隨便亂發言。,法轮功,3,中央通訊社(2009/08/01)、自由亞洲之聲(2009/08/07),,,
2009-11-02,上海萬邦宣教教會有近2千名信徒於聚會時受到來自上海市人口辦工作人員的騷擾，並受到上海市公安局、宗教局等四個政府部門下達臨時取締令。,基督教,3,香港蘋果日報(2009/11/05)、自由亞洲之聲(2009/11/10),,,
2009-11-10,張明選/中國家庭教會聯合會會長張明選牧師及夫人謝鳳蘭去上海探望當地的家庭教會時，無故被上海公安帶走，之後，被河南公安派人接到南陽市一家賓館軟禁至今。,基督教,3,自由亞洲之聲(2009/11/14)、明報(2009/11/15),,,
2010-07-05,于曉豔/大連中山醫學院副教授為法輪功學員，被當地公安局抓捕後關入撫順的法制學習班進行洗腦，20天後釋放。此外，大連中山醫學院亦停止了她的教學和醫療工作，目前在該院的後勤打雜「待崗」。,法轮功,3,自由亞洲之聲(2010/08/12),,,
2011-03-16,彭措/格爾登寺藏族喇嘛當街自焚，自焚前曾高呼爭取自由口號，並抗議3年前官方鎮壓3．14騷亂，警方於15分鐘內到達，並迅速滅火，但隨即對彭措拳打腳踢，引發格爾登寺僧人不滿，將彭措搶回寺廟。過程中與警方衝突，30名僧人被捕，而彭措被抬返寺內時已死亡。之後，約有1000人上街示威，遭大批軍警鎮壓。,藏传佛教,3,自由亞洲之聲(2011/03/17)、太陽報(2011/03/18),,,
2011-05-08,胡建/守望教會成員基督教團體對華援助協會5月10日發佈新聞稿表示，北京家庭教會守望教會成員胡建，因為堅持戶外崇拜聚會，5月8日被抓進東升派出所，2天後，身份證被沒收，並要被遣返回湖北原籍。,基督教,3,自由亞洲之聲(2011/05/11),,,
2011-06-21,施恩浩/中國家庭教會聯合會的副會長被江蘇省宿遷市公安局宿城分局刑事拘留，罪名是涉嫌利用迷信破壞國家法律實施，7月23日被判處勞教2年。,基督教,3,美國之音(2011/07/27),,,
2011-10-05,宋心寬/河南省駐馬店的家庭教會帶領人2011年10月5日在拉薩被捕，10月7日，公安以「涉嫌邪教組織」為名，對其處以刑事拘留，之後又接到「流竄作案」延期拘留30天的通知。在關押期間，多次遭到審訊和毆打。11月1日，在被迫寫下保證書之後，獲得提前釋放。,基督教,3,自由亞洲之聲(2011/12/14),,,
2011-10-28,劉秀英/山東濟寧梁山縣基督徒在梁山縣水泊中路石棉保溫廠教會做禮拜時，遭公安人員與宗教官員抓到派出所，指其宗教信仰是邪教異端。之後，又被多次傳喚以至被當局指從事「危害社會活動」而行政拘留。,基督教,3,自由亞洲之聲(2011/10/28),,,
2012-01-24,藏人美國自由亞洲電台（Radio Free Asia）以及倫敦自由西藏組織（Free Tibet）表示，中國大陸四川省藏民聚居區的抗議風潮擴散，連續爆發警民衝突，並開火擊斃多達5人。,藏传佛教,3,中央社(2012/01/25),,,
2012-06-20,藏人新華社英文稿披露大陸青海省玉樹藏族自治州發生於6月20日兩名抗議者自焚事件，這是今年青海發生的第7起自焚事件。據英國廣播公司(BBC)中文網，總部設在倫敦的「自由西藏」組織發表聲明指出，兩人自焚是為了抗議中國當局對西藏的統治，這也是2011年3月以來自焚的第43和44名藏人。,藏传佛教,3,中央社(2012/06/21),,,
2012-07-21,雲南西盟縣猛卡鎮基督徒當地政府長期打壓、逼迫少數民族基督徒和漢族宣教士，並嚴格禁止私人擁有聖經，當地政府部門並多次聯合行動，強制沒收教徒的聖經。如有不交出「聖經」或參與「非法宗教活動」的就會被停止農保等。,基督教,3,自由亞洲之聲(2012/07/21),,,
2012-04-27,法輪功學員成都市青羊公安分局國保以涉嫌「利用邪教組織破壞法律實施」將3名法輪功學員處以刑事拘留。,法轮功,3,自由亞洲之聲(2012/07/21),,,
2012-05-27,培傑/青海果洛州瑪沁縣拉加寺僧人僧人培傑在四川首府成都複印達賴喇嘛的演講文，並在多個地方散發，於今年5月27日在西寧市被中國當局拘捕，之後兩個月受到審訊。7月29日，警方以電話通知培傑的家人其已被正式拘捕。,藏传佛教,3,自由亞洲之聲(2012/08/02),,,
2012-07-31,基督教家庭教會河南公安到家庭教會登門調查登記該教會成員的信息。新疆和闐及烏魯木齊市的兩個家庭教會的聚會日前再遭公安驅散，包括牧師在內多人被抓。,基督教,3,自由亞洲之聲(2012/07/31),,,
2012-08-26,劉迪/基督徒因為在暑期傳講基督教被烏蘭浩特市前旗公安局刑事拘留23天。8月2號，劉迪被前旗公安局以「涉嫌利用邪教組織破壞法律實施罪」刑事拘留。,基督教,3,自由亞洲之聲(2012/08/26),,,
2012-10-27,杜微孝、霍曉峰、韓東奎等人/中國基督教福音宣教團成員因在深圳散發福音傳單，27日被警方扣查，31日釋放。,基督教,3,自由亞洲電臺(2012/11/06),,,
2012-12-23,上海真光家庭教會據美國民間團體「對華援助協會」指稱，上海市浦東新區真光家庭教會，數十名信徒聚會時，遭到當局突擊，正在講道的韓國胡姓牧師被當局扣留兩個小時，隨後勒令離境。,基督教,3,自由亞洲電臺(2012/12/29),,,
2013-01-26,四川甘孜州爐霍縣5名藏人參與2012年1月23日抗議當局政策的示威活動而被捕後，1月26日被爐霍縣人民法院當局判處10年至14年徒刑。,藏传佛教,3,自由亞洲電臺(2013/02/11),,,
2013-02-02,亞培/青海省同仁縣葉什雄寺僧人參加其自焚侄子多吉倫珠的火葬儀式時，因手中拿著達賴喇嘛的法相，被當局強行拘捕，並受到密集的審訊及監禁，3月1日被判判處1年3個月徒刑。,藏传佛教,3,自由亞洲電臺(2013/03/15),,,
